Date,Account,Category,Note,Income/Expense,Amount,Type
3/2/2022 10:11,CUB - online payment,Food,Brownie,Expense,50.0,Expense
3/2/2022 10:11,CUB - online payment,Other,To lended people,Expense,300.0,Expense
3/1/2022 19:50,CUB - online payment,Food,Dinner,Expense,78.0,Expense
3/1/2022 18:56,CUB - online payment,Transportation,Metro,Expense,30.0,Expense
3/1/2022 18:22,CUB - online payment,Food,Snacks,Expense,67.0,Expense
3/1/2022 18:22,CUB - online payment,Other,From vicky,Income,100.0,Expense
3/1/2022 18:21,CUB - online payment,Other,From dad,Income,500.0,Expense
2/28/2022 11:56,CUB - online payment,Food,Pizza,Expense,339.15,Expense
2/28/2022 11:45,CUB - online payment,Other,From kumara,Income,200.0,Expense
2/27/2022 15:29,CUB - online payment,Food,Lunch,Expense,243.0,Expense
2/26/2022 20:16,CUB - online payment,Food,,Expense,25.0,Expense
2/26/2022 17:37,CUB - online payment,Other,From dad,Income,1500.0,Expense
2/26/2022 17:37,CUB - online payment,Other,To karthi,Expense,100.0,Expense
2/26/2022 16:01,CUB - online payment,Social Life,,Expense,1700.0,Expense
2/26/2022 14:07,CUB - online payment,Food,Snacks,Expense,40.0,Expense
2/26/2022 1:39,CUB - online payment,Food,Tea lights,Expense,84.0,Expense
2/25/2022 12:08,CUB - online payment,Food,,Expense,33.0,Expense
2/24/2022 22:32,CUB - online payment,Household,,Expense,303.0,Expense
2/24/2022 22:21,CUB - online payment,Food,Creamstone,Expense,289.0,Expense
2/24/2022 19:15,CUB - online payment,Food,Tamen,Expense,324.7,Expense
2/23/2022 17:35,CUB - online payment,Apparel,Hoodie for gobi,Expense,399.0,Expense
2/23/2022 16:06,CUB - online payment,Food,Eggs,Expense,83.0,Expense
2/23/2022 12:38,CUB - online payment,Apparel,Earphone,Expense,399.0,Expense
2/22/2022 6:33,CUB - online payment,Transportation,Auto to laxmi mills,Expense,120.0,Expense
2/21/2022 22:15,CUB - online payment,Transportation,It better be worth it,Expense,1300.0,Expense
2/21/2022 16:06,CUB - online payment,Transportation,Travel to koyambedu,Expense,138.0,Expense
2/21/2022 15:40,CUB - online payment,Household,Stuffs,Expense,336.0,Expense
2/21/2022 15:38,CUB - online payment,Transportation,Train cbe to chn,Expense,201.8,Expense
2/20/2022 15:24,CUB - online payment,Food,Lunch,Expense,200.0,Expense
2/19/2022 23:03,CUB - online payment,Food,Random stuff for drinks,Expense,111.0,Expense
2/19/2022 21:57,CUB - online payment,Food,Snacks,Expense,250.0,Expense
2/19/2022 21:35,CUB - online payment,Transportation,Bus ticket,Expense,1575.0,Expense
2/19/2022 20:45,CUB - online payment,Transportation,Took from sbi,Expense,200.0,Expense
2/19/2022 20:45,CUB - online payment,Food,Ramen with gobi,Expense,380.0,Expense
2/19/2022 8:26,CUB - online payment,Transportation,Metro,Expense,60.0,Expense
2/19/2022 6:27,CUB - online payment,Other,To auto anna,Expense,50.0,Expense
